StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1,Q3.1,Q3.2,Q3.3,Q3.4,Q4.2,Q4.3,Q4.4,Q4.5_1,Q4.7,Q4.8,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q7.1_1,Q7.2_1,Q7.3_1,Q7.4,Q7.5,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q396_First Click,Q396_Last Click,Q396_Page Submit,Q396_Click Count,Q397_1,Q398_1,Q399_1,Q400_1,Q401_1,Q402_1,Q403_1,Q403_2,Q403_3,Q403_4,Q403_5,Q403_6,Q405_First Click,Q405_Last Click,Q405_Page Submit,Q405_Click Count,Q406_1,Q407_1,Q408_1,Q409_1,Q410_1,Q411_1,Q412_1,Q412_2,Q412_3,Q412_4,Q412_5,Q412_6,IM_1.2_First Click,IM_1.2_Last Click,IM_1.2_Page Submit,IM_1.2_Click Count,IM_1.3_1,IM_1.4_1,IM_1.5_1,IM_1.6_1,IM_1.7_1,IM_1.8_1,IM_1.9,IM_1.10_1,IM_1.10_2,IM_1.10_3,IM_1.10_4,IM_1.10_5,IM_1.10_6,IM_1.11,IM_1.12,IM_1.13_First Click,IM_1.13_Last Click,IM_1.13_Page Submit,IM_1.13_Click Count,IM_1.14#1_1,IM_1.14#1_2,IM_1.14#1_3,IM_1.14#1_4,IM_1.14#1_5,IM_1.14#1_6,IM_1.14#1_7,IM_1.14#1_8,IM_1.15_First Click,IM_1.15_Last Click,IM_1.15_Page Submit,IM_1.15_Click Count,NPS.2,NPS.3,NPS.4,NPS.5_NPS_GROUP,NPS.5,NPS.6,PROLIFIC_PID
2025-07-13 17:24:07,2025-07-13 18:03:24,IP Address,185.69.145.232,100,2356,True,2025-07-13 18:03:25,R_85KDIAlh2Mk0VyN,,,,,51.4964,-0.1224,anonymous,EN,I agree and I want to participate,66f3f19a6de8f0b0cdf9eb45,Desktop,Other,English,18 to 24,Male,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",6,7,2,1,7,7,5,Once a week,10,"traditional media (e.g. newspapers, TV news channels),social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,6.838,43.385,343.735,2,7,6,5,6,7,7,1,4,6,6,5,7,,,,,,,,,,,,,,,,,0,0,387.374,0,7,7,7,2,6,6,"There's a reason why Russia is pushing for peace, though it may be true that the Ukraine President is avoiding elections. They are both trying to avoid something. Russia has an upper hand to the conflict so I see why they should be working that hard to achieve peace.",5,4,7,6,3,6,Yes,Its too one sided. Its mostly showing one point of view.,6.581,263.08,264.803,14,Yes,No,Yes,Yes,Yes,Yes,Yes,No,6.58,263.079,264.802,14,Be accurate.,Yes,It helps identify propaganda.,Passive,8,,
2025-07-13 17:31:38,2025-07-13 18:21:21,IP Address,85.255.237.55,100,2982,True,2025-07-13 18:21:21,R_8xMjblGEAfD1y4r,,,,,51.4964,-0.1224,anonymous,EN,I agree and I want to participate,66f2e478619ff9c3df3385ad,Desktop,Other,English,25 to 44,Female,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",7,7,2,1,6,3,6,Several times a week,10,"traditional media (e.g. newspapers, TV news channels),social media platforms (e.g. Facebook, Twitter, Telegram)",,62.047,341.564,343.821,3,7,7,6,3,2,6,1,5,5,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,87.708,0,7,7,7,7,7,5,I had to read the article slowly and understand everything. Without the tool I had to start questioning every statement.,7,5,6,7,5,7,Yes,"It seems slightly exaggerated. ",3.057,204.365,205.534,14,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3.057,204.365,205.534,14,Its okay.,Yes,It identified the propaganda so I didn't have to overthink.,Promoter,9,I'd like to have it.,
2025-07-16 08:54:49,2025-07-16 08:56:54,IP Address,86.15.54.84,100,125,True,2025-07-16 08:56:54,R_20UBgSk1kKzzHWU,,,,,53.278,-2.9349,anonymous,EN,I agree and I want to participate,67a652ff9f6851365e540c1c,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 08:46:01,2025-07-16 08:58:19,IP Address,158.120.202.41,100,738,True,2025-07-16 08:58:20,R_3OpDi4EE3H5OeEY,,,,,34.7659,-88.5267,anonymous,EN,I agree and I want to participate,67758b914f06b14a31669644,Desktop,Other,English,25 to 44,Female,"Some college/university, no degree",United States,"Clerical Support Workers – office and admin tasks (e.g. receptionist, data entry clerk, office assistant)","Yes, I will",5,5,1,1,5,5,7,Once a day,8,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.218,180.396,181.162,12,7,7,7,7,7,7,1,3,6,5,4,6,7.906,24.67,47.441,2,7,7,7,7,7,7,I had to think more while reading because it felt biased and emotional not just factual,1,2,6,3,2,5,Yes,It only shows Russias side and blames Ukraine without giving both views,20.013,78.66,85.636,12,Yes,No,Yes,Yes,Yes,Yes,Yes,No,20.012,78.659,85.635,12,nothing it works just fine,Yes,It pointed out which parts were biased,Promoter,10,no,
2025-07-16 08:50:25,2025-07-16 09:09:39,IP Address,113.20.53.99,100,1154,True,2025-07-16 09:09:40,R_5LhAW2KSHAokLOH,,,,,39.0814,-77.6443,anonymous,EN,I agree and I want to participate,67d9b887153011f49e8a5f3f,Desktop,Other,English,25 to 44,Male,Master's degree,United States,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",6,6,1,1,6,5,2,Multiple times a day,10,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.135,190.975,193.416,8,7,1,7,7,1,7,4,4,5,5,4,6,0,0,164.321,0,7,1,1,1,7,7,"I was actively processing the details of the article to understand, analyze, and synthesize the content. For example, I had to slow down to identify bias and connect the ideas to existing knowledge. ",7,3,7,6,2,7,Yes,The article presents only one perspective which is not entirely true,2.65,93.493,94.265,11,Yes,No,No,Yes,Yes,Yes,Yes,No,2.649,93.492,94.265,11,"I think that the tool is perfect but it should include a section for ""neutral"" for those who are not sure about the information provided. Readers should not just be restricted to ""yes and no"" ",Yes,"I was able to identify areas or parts that could come out as propaganda or lies. ",Detractor,6,,
2025-07-16 08:49:29,2025-07-16 09:12:10,IP Address,165.120.61.10,100,1360,True,2025-07-16 09:12:10,R_8TSprpoVI3iJHXb,,,,,50.3907,-4.0602,anonymous,EN,I agree and I want to participate,673321669f5c5d443040682b,Desktop,Other,English,25 to 44,Female,Master's degree,United Kingdom,,"Yes, I will",5,5,2,2,4,3,4,Several times a week,8,"traditional media (e.g. newspapers, TV news channels),online news websites,news apps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,385.323,0,6,3,4,6,4,5,2,3,6,3,3,2,196.205,196.205,254.043,1,6,3,6,4,4,2,"Thoughts were popping into my head when reading, i didnt set out deliberately to have those thoughts. ",2,3,6,4,3,3,Yes,"The article is written from a russian point of view, which does not allow a fair arguement",1.529,91.711,93.769,16,Yes,No,Yes,Yes,Yes,Yes,Yes,No,1.53,91.711,93.77,16,"I think it could be more conscise as the boxes were quite long to read. ",Yes,The summary section,Detractor,5,,
2025-07-16 08:57:12,2025-07-16 09:30:17,IP Address,86.15.54.84,100,1985,True,2025-07-16 09:30:18,R_2Fh9VNfc25qit6y,,,,,53.278,-2.9349,anonymous,EN,I agree and I want to participate,67a652ff9f6851365e540c1c,Desktop,Other,English,25 to 44,Male,Bachelor's degree,United Kingdom,"Technicians & Associate Professionals – support roles requiring specialized training (e.g. lab technician, paralegal, IT support)","Yes, I will",3,4,5,4,6,5,4,Once a week,8,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.746,493.923,506.685,3,7,3,5,6,5,4,2,4,4,5,4,5,0,0,313.006,0,6,5,4,5,6,6,"While reading the article, I felt mostly rational because I was actively analyzing the language and structure of the content, especially with the propaganda tool highlighting specific sections. For example, when the tool flagged emotionally charged phrases like “dangerous consequences for our future,” it prompted me to pause and think critically about whether the claim was supported by evidence or merely intended to evoke fear. I tried to evaluate the arguments based on facts rather than how the article made me feel.",3,4,3,5,4,5,No,"This article appears to reflect a strong bias, presenting only the Russian diplomat’s viewpoint without balancing it with Ukraine’s perspective or independent analysis. Passages like “Zelensky's playing games instead of negotiating” and “They’re simply playing games. For them, it’s not a serious or meaningful negotiation” are propagandistic. They use emotionally charged language and accuse the opposing side of bad faith without evidence. This one-sided framing can influence readers' perception, making it more propaganda than objective reporting.",13.724,381.416,425.632,25,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,13.724,381.416,425.632,25,"The tool was insightful and encouraged critical thinking about media content. It did help increase awareness of subtle propaganda techniques, especially through specific language choices and framing.  ",Yes,The side-by-side breakdown of passages for evaluation was very effective in highlighting how language and context can carry bias or persuasive intent. It made it easier to spot emotionally charged claims or speculative motives presented as facts.,Passive,8,None,
2025-07-16 08:50:53,2025-07-16 09:34:51,IP Address,148.252.128.178,100,2638,True,2025-07-16 09:34:52,R_80PppaUo62ysK1o,,,,,51.4964,-0.1224,anonymous,EN,I agree and I want to participate,67458d30882b7993b554543d,Desktop,Other,English,18 to 24,Male,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",6,7,1,2,6,2,5,Several times a week,10,"traditional media (e.g. newspapers, TV news channels),social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,,,,,,,,,,,,,,,,,0,0,432.241,0,7,7,6,7,7,6,5,5,5,7,6,7,,,,,,,,,,,,,,,,,274.805,274.805,276.345,1,7,7,7,1,6,5,Its more mentally exhausting than the previous one,5,4,5,7,6,7,Yes,Its biased and exaggerated.,14.482,102.272,104.569,12,Yes,No,Yes,Yes,Yes,Yes,Yes,No,14.482,102.272,104.569,12,Can it give a non-propaganga article?,Yes,It highlights the propaganda in the articles.,Promoter,9,none,
2025-07-16 18:28:43,2025-07-16 18:29:21,IP Address,35.137.176.17,100,37,True,2025-07-16 18:29:21,R_12E7eCKaefeEoES,,,,,29.2866,-81.0869,anonymous,EN,I agree and I want to participate,578901354a84da00014c41cf,Mobile,Other,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:29:29,2025-07-16 18:29:56,IP Address,35.137.176.17,100,26,True,2025-07-16 18:29:56,R_6fYSPlcQUDxXP5j,,,,,29.2866,-81.0869,anonymous,EN,I agree and I want to participate,578901354a84da00014c41cf,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:30:03,2025-07-16 18:30:21,IP Address,35.137.176.17,100,18,True,2025-07-16 18:30:21,R_1gN63ro8Ri6rML5,,,,,29.2866,-81.0869,anonymous,EN,I agree and I want to participate,578901354a84da00014c41cf,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:29:37,2025-07-16 18:30:24,IP Address,85.255.234.156,100,47,True,2025-07-16 18:30:25,R_8In4wEfM3RCRZtf,,,,,51.4964,-0.1224,anonymous,EN,I agree and I want to participate,C16XKJP7,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:28:44,2025-07-16 18:31:58,IP Address,41.13.176.184,100,194,True,2025-07-16 18:31:59,R_2IY7AZSsipZfqAy,,,,,-29.8553,31.0428,anonymous,EN,I agree and I want to participate,60a8bd22d03adbe92cbb9a5e,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:31:00,2025-07-16 18:32:10,IP Address,194.152.129.190,100,70,True,2025-07-16 18:32:10,R_2PZA531yJ8WRXwT,,,,,51.4964,-0.1224,anonymous,EN,I agree and I want to participate,669784d7b9b01c76a1131cb9,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:28:53,2025-07-16 18:33:25,IP Address,92.40.214.240,100,271,True,2025-07-16 18:33:25,R_8TkTGEGyxVT6Xu1,,,,,51.5565,0.134,anonymous,EN,I agree and I want to participate,67307f87eac0c3717c72d175,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:33:57,2025-07-16 18:34:40,IP Address,92.40.214.241,100,42,True,2025-07-16 18:34:40,R_2Fb6iPxft0Nd4xN,,,,,51.5565,0.134,anonymous,EN,I agree and I want to participate,67307f87eac0c3717c72d175,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:35:02,2025-07-16 18:36:39,IP Address,81.99.249.112,100,96,True,2025-07-16 18:36:39,R_2qEhPsTMA5obd2k,,,,,53.8318,-1.5358,anonymous,EN,I agree and I want to participate,67163908d163cdb3d7a8012a,Desktop,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:37:27,2025-07-16 18:38:15,IP Address,90.255.169.173,100,47,True,2025-07-16 18:38:15,R_22JUtYNN0RpLtWp,,,,,52.2242,0.1315,anonymous,EN,I agree and I want to participate,671d22f9355f8f1efaf7397c,Desktop,Politics,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:38:35,2025-07-16 18:40:13,IP Address,90.255.169.173,100,97,True,2025-07-16 18:40:13,R_8GuN4FTn6P4JV0W,,,,,52.2242,0.1315,anonymous,EN,I agree and I want to participate,671d22f9355f8f1efaf7397c,Desktop,Communication and/or Media,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-16 18:30:26,2025-07-16 18:40:28,IP Address,35.137.176.17,100,601,True,2025-07-16 18:40:28,R_5fdzaaiLnALTCOs,,,,,29.2866,-81.0869,anonymous,EN,I agree and I want to participate,578901354a84da00014c41cf,Desktop,Other,English,25 to 44,Male,Associate degree,United States,"Service & Sales Workers – customer-facing roles (e.g. retail salesperson, waiter/waitress, hairdresser)","Yes, I will",6,6,2,2,6,5,4,Several times a week,7,"online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,178.66,0,5,3,5,4,3,3,3,6,3,5,5,7,0,0,62.367,0,6,6,3,1,3,3,"I think it covered a topic I already knew about pretty well. The story was fairly short, shorter than the first, and covered information i already knew.",6,6,4,5,6,6,No,"I don't find the article at all propagandistic, it presents something someone said. The article does not take that persons side or show direct support for what is said.",24.16,97.222,98.124,13,No,No,No,No,No,No,No,No,24.16,97.222,98.124,13,I have no suggestions,Yes,Easier to identify details considered to be propaganda.,Detractor,4,None,
2025-07-16 18:28:58,2025-07-16 18:43:40,IP Address,73.123.181.229,100,882,True,2025-07-16 18:43:41,R_5mmcZsXM7Wllw07,,,,,41.3186,-72.9302,anonymous,EN,I agree and I want to participate,6439db560a5e06fd3451c47c,Desktop,Other,English,45 to 64,Male,Bachelor's degree,United States,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",6,7,1,1,7,6,2,Multiple times a day,10,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,,,,,,,,,,,,,,,,,0,0,325.718,0,7,3,6,7,7,7,6,4,7,3,3,6,,,,,,,,,,,,,,,,,0,0,88.007,0,6,7,7,6,7,7,i thought that it was very biased and unbalanced and it was really propaganda and only from one point of view,6,3,7,2,1,4,Yes,its not balanced there is not information from the ukraine point of view seems to be russian led propaganda,1.174,73.021,74.293,10,Yes,No,Yes,Yes,Yes,Yes,Yes,No,1.174,73.021,74.293,10,none,Yes,it shows you how to filiter through the noise and find if its balanced or truthful information,Promoter,9,none,
2025-07-16 18:28:47,2025-07-16 18:44:36,IP Address,80.193.198.69,100,949,True,2025-07-16 18:44:37,R_2n7sBtBXIk6tNuv,,,,,51.8686,-2.2446,anonymous,EN,I agree and I want to participate,677052c959de45fd60f8d1a9,Desktop,Other,English,45 to 64,Female,Bachelor's degree,United Kingdom,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",5,5,2,2,5,5,4,Once a day,9,"traditional media (e.g. newspapers, TV news channels),online news websites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.916,86.916,346.945,1,6,6,6,6,6,6,2,5,5,5,4,5,0,0,96.378,0,7,7,7,7,7,7,I was very deliberate and trying to work out what was propaganda and what was not,2,5,5,5,4,5,Yes,Because it made several statements that lacked supporting evidence,1.816,95.152,96.036,10,Yes,No,Yes,No,Yes,Yes,Yes,No,1.815,95.151,96.035,10,none,Yes,the reasons it was propaganda,Promoter,10,,
2025-07-16 18:28:28,2025-07-16 18:44:49,IP Address,90.196.36.53,100,980,True,2025-07-16 18:44:49,R_80dCtPfvvnDU2Ln,,,,,54.9749,-1.6451,anonymous,EN,I agree and I want to participate,60c74dfb9bfacb11f4d698d2,Desktop,Other,English,18 to 24,Female,"Some college/university, no degree",United Kingdom,"Clerical Support Workers – office and admin tasks (e.g. receptionist, data entry clerk, office assistant)","Yes, I will",5,5,3,3,5,6,5,Once a week,8,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,82.045,82.045,117.473,1,6,3,5,6,3,6,5,3,6,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.083,4.083,63.703,1,6,6,3,3,5,5,"I think this felt more deliberate as the structure was easy to follow, it was clear it was against the Ukraine president and it seemed to be advocating against him and giving reasons why he doesn't want to resolve the conflict. It seemed to be fully one sided in the article therefore was easier for me to read and get the full side of the writers perspective.",5,3,6,3,2,5,Yes,"It was mostly giving examples of how neither country want peace such as the opening line ;Ukranian leader ... doesn't want meanigful negotiations... seeks to prolong conflict. I think opening with this sets the tone of propaganda against Zelensky and therefore gives the reader reason to believe that the whole article is against him. The line saying 'Ukraine has yet to formally commit' speaks negatively where they could have said did not attend they used the word commit instead, suggesting that Ukraine cannot decide. Giving exsmples from leaders such as Trumo & Polyansky is an obvious giveaway that the article is propaganda against Ukraine.",1.623,327.418,329.172,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.622,327.417,329.171,12,,Yes,,Passive,8,,
2025-07-16 18:30:26,2025-07-16 18:45:29,IP Address,75.153.84.222,100,903,True,2025-07-16 18:45:29,R_3gTABR4eIi4zshr,,,,,40.7503,-74.0014,anonymous,EN,I agree and I want to participate,682a1996cd2cfa1f1160cb71,Desktop,Other,English,25 to 44,Male,"Some college/university, no degree",United States,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",5,6,1,1,7,6,7,Once a day,12,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,0,0,15.43,0,7,7,7,7,7,7,5,7,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.482,35.482,159.777,1,7,7,7,7,7,7,The article provided detailed information on the issue which changed my perspective on the matter such as quoted speeches from world leaders such as Trump.,2,6,6,7,6,7,No,Most of the information is derived from facts rather than propaganda.,1.627,132.602,133.206,13,Yes,No,Yes,Yes,Yes,No,Yes,No,1.628,132.602,133.207,13,none,Yes,It provides news from legit sources,Promoter,10,,
2025-07-16 18:32:24,2025-07-16 18:46:32,IP Address,86.169.244.1,100,847,True,2025-07-16 18:46:32,R_8m26ihsyFXIGus1,,,,,51.5054,-3.5794,anonymous,EN,I agree and I want to participate,65c242831388550b0a42bd25,Desktop,Other,English,45 to 64,Female,Master's degree,United Kingdom,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",5,5,2,2,5,5,6,Multiple times a day,9,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,53.966,287.898,289.653,12,7,3,7,6,3,6,4,4,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.783,42.273,43.866,2,2,2,2,2,2,1,"it was quicker to read without the additional comments - they slowed the process down and identified the key sections for understanding, whereas the 2nd article could be skimmed and the lack of highlighting suggested no particular section was that important",4,4,5,4,3,4,Yes,suggesting that zelensky's desire is to stay n power and not to participate in talks,1.991,121.573,122.692,15,No,Yes,No,Yes,Yes,Yes,Yes,No,1.991,121.574,122.692,15,make it more available!,Yes,categorisation and citing,Promoter,10,love it,
2025-07-16 18:34:23,2025-07-16 18:50:14,IP Address,35.151.157.130,100,950,True,2025-07-16 18:50:14,R_146gsm07SdPZvxh,,,,,33.8775,-84.5017,anonymous,EN,I agree and I want to participate,5bc9f8b677740000016a08b5,Desktop,Other,English,45 to 64,Female,Bachelor's degree,United States,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",1,1,7,7,1,1,2,Multiple times a day,9,"traditional media (e.g. newspapers, TV news channels),online news websites,news apps",,,,,,,,,,,,,,,,,,39.617,39.617,269.128,1,7,6,6,6,3,5,5,3,7,5,3,5,,,,,,,,,,,,,,,,,0,0,220.703,0,5,1,1,5,2,2,"I started reading and immediately thought ""this is obviously biased towards the right"" and as I was reading more, thoughts of ""this is misinformation and wrong"" over and over.",4,1,7,1,1,4,Yes,It was giving misinformation that was trying to portray Zelensky as the bad guy when we all know he is a hero.,1.583,99.287,101.088,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.583,99.287,101.088,10,I would suggest it be more concise and not so long. The tiny font made it difficult to read it all.,Yes,The part where it explained why we should be wary of the information.,Detractor,6,no,
2025-07-16 18:30:36,2025-07-16 18:51:44,IP Address,84.68.173.48,100,1267,True,2025-07-16 18:51:44,R_2LCqXco1vwgK3Hv,,,,,51.5245,-0.0255,anonymous,EN,I agree and I want to participate,667ec9bbae0fd758e8ffbf44,Desktop,Other,English,18 to 24,Female,"Some college/university, no degree",United Kingdom,,"Yes, I will",2,2,4,2,4,2,3,Once a week,8,"traditional media (e.g. newspapers, TV news channels),online news websites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.234,434.234,458.702,1,7,1,7,7,1,1,2,4,5,5,5,4,0,0,117.449,0,3,6,1,1,1,1,it was more compressed than the other article so the reading felt more effortless and natural,1,4,5,5,5,7,No,I meant yes because it has a lot of negatives about Ukraine making seem as if its Ukraines fault the war is still on.,11.709,223.193,223.757,14,Yes,Yes,No,Yes,Yes,Yes,Yes,No,11.71,223.193,223.758,14,,No,,Detractor,4,,
2025-07-16 18:37:56,2025-07-16 18:53:03,IP Address,72.219.4.224,100,906,True,2025-07-16 18:53:03,R_7CC7pZ0gM9Rhz9Q,,,,,30.2735,-91.8993,anonymous,EN,I agree and I want to participate,65462d3be36b05a1f97d2dc8,Desktop,Other,English,25 to 44,Female,Bachelor's degree,United States,"Managers – people who plan and direct the work of others (e.g. department head, project manager, store manager)","Yes, I will",7,7,1,1,7,7,4,Multiple times a day,9,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram),news apps",,7.387,200.98,204.205,16,6,3,6,5,4,5,2,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.065,29.936,31.846,3,6,3,4,4,4,5,"I was engaged in the article while reading, especially when Donald Trump was mentioned because then it directly mentions the United 
States and could have an effect on me.",2,4,5,4,3,4,Yes,because every media outlet has their own agenda,1.655,157.745,159.985,23,Yes,No,No,Yes,No,Yes,Yes,No,1.655,157.745,159.985,23,none,Yes,"when you press on the highlight , it brings up info on the article",Passive,8,no,
2025-07-16 18:35:06,2025-07-16 18:53:43,IP Address,105.245.111.13,100,1116,True,2025-07-16 18:53:43,R_2rJtQjkSiNuAocC,,,,,-25.757,28.1443,anonymous,EN,I agree and I want to participate,66af93dfdf68b39e95f1dd7e,Desktop,Other,English,25 to 44,Male,Bachelor's degree,South Africa,"Professionals – highly-skilled, degree-level work (e.g. doctor, lawyer, engineer, teacher, accountant)","Yes, I will",5,6,3,5,6,6,3,Once a week,8,"traditional media (e.g. newspapers, TV news channels),online news websites,social media platforms (e.g. Facebook, Twitter, Telegram)",,183.544,192.855,351.571,2,4,2,2,6,6,5,2,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,98.631,0,6,6,2,2,2,3,The article had more facts than opinions,6,6,2,6,6,6,No,Because it has only stated actual events that had happened,2.614,102.75,104.497,10,Yes,Yes,No,Yes,Yes,Yes,No,No,2.615,102.751,104.497,10,none,No,clear propaganda,Passive,7,None,
